id,observed_on,user_id,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,taxon_id
16776551,2018-09-20,481399,31.8073571927,-111.0139096849,Pima,Arizona,United States,Tramea onusta,114314
16776552,2018-09-20,481399,31.8073571927,-111.0139096849,Pima,Arizona,United States,Tramea insularis,114312
16776553,2018-09-20,481399,31.8073571927,-111.0139096849,Pima,Arizona,United States,Libellula luctuosa,47934
16776556,2018-09-20,481399,31.8073571927,-111.0139096849,Pima,Arizona,United States,Tramea insularis,114312
16776557,2018-09-20,481399,31.8073571927,-111.0139096849,Pima,Arizona,United States,Tramea insularis,114312
16776560,2018-09-20,481399,31.8073571927,-111.0139096849,Pima,Arizona,United States,Dythemis fugax,99641
16776656,2018-09-20,481399,31.8073016054,-111.0138662666,Pima,Arizona,United States,Enallagma basidens,99892
16776832,2018-09-17,872429,31.5050054825,-110.354893239,Cochise,Arizona,United States,Papilio polyxenes,58523
16777011,2018-09-21,872429,31.4234311463,-110.4476085976,Cochise,Arizona,United States,Libellula luctuosa,47934
16779095,2018-09-21,1081416,35.356804384,-111.7179145386,Coconino,Arizona,United States,Plebejus melissa,122383
16779677,2018-09-21,872429,31.4234873124,-110.4478197009,Cochise,Arizona,United States,Enallagma basidens,99892
16783748,2018-09-21,9706,31.3626266445,-110.3005619553,Cochise,Arizona,United States,Chlosyne lacinia,68240
16783749,2018-09-21,9706,31.3626266445,-110.3005619553,Cochise,Arizona,United States,Erynnis funeralis,59188
16783750,2018-09-21,9706,31.3626266445,-110.3005619553,Cochise,Arizona,United States,Vanessa virginiensis,48549
16783753,2018-09-21,9706,31.3626266445,-110.3005619553,Cochise,Arizona,United States,Adelpha eulalia,67559
16783858,2018-09-21,9706,31.3625466667,-110.30035,Cochise,Arizona,United States,Gyrocheilus patrobas,204681
16783859,2018-09-21,9706,31.3626933333,-110.3006083333,Cochise,Arizona,United States,Eurema mexicana,122374
16783860,2018-09-21,9706,31.3814466667,-110.36289,Cochise,Arizona,United States,Pseudoleon superbus,111055
