siteID,State,year,sitevisits
29480,CA,2018,4
29482,CA,2018,1
29483,CA,2018,1
29489,CA,2018,1
29490,CA,2018,1
29491,CA,2018,2
29499,CA,2018,1
29510,CA,2018,1
29511,CA,2018,1
29523,CA,2018,1
29535,CA,2018,3
29536,CA,2018,2
29538,CA,2018,2
29542,CA,2018,2
29544,CA,2018,2
29548,CA,2018,1
29549,CA,2018,1
29550,CA,2018,2
29551,CA,2018,4
29552,CA,2018,2
29553,CA,2018,3
29558,CA,2018,3
29567,CA,2018,2
29570,CA,2018,2
29577,CA,2018,4
29581,CA,2018,2
29582,CA,2018,1
29583,CA,2018,2
29587,CA,2018,1
29588,CA,2018,2
29589,CA,2018,1
29591,CA,2018,1
29592,CA,2018,1
29594,CA,2018,2
29596,CA,2018,2
29598,CA,2018,2
29600,CA,2018,2
29601,CA,2018,2
29603,CA,2018,1
29604,CA,2018,2
29605,CA,2018,2
29608,CA,2018,2
29609,CA,2018,3
29610,CA,2018,2
29613,CA,2018,2
29614,CA,2018,2
29616,CA,2018,1
29617,CA,2018,1
29618,CA,2018,1
29619,CA,2018,1
29620,CA,2018,2
29622,CA,2018,1
29623,CA,2018,2
29624,CA,2018,2
29625,CA,2018,3
29626,CA,2018,1
29628,CA,2018,2
29629,CA,2018,1
29630,CA,2018,1
29631,CA,2018,1
29632,CA,2018,4
29633,CA,2018,1
29634,CA,2018,2
29635,CA,2018,1
29636,CA,2018,2
29637,CA,2018,1
29638,CA,2018,1
29639,CA,2018,2
29640,CA,2018,2
29641,CA,2018,1
29643,CA,2018,1
29644,CA,2018,2
29651,CA,2018,2
29662,CA,2018,1
29679,CA,2018,2
29681,CA,2018,2
29682,CA,2018,1
29684,CA,2018,1
29689,CA,2018,1
29691,CA,2018,1
29721,CA,2018,1
29729,CA,2018,2
29731,CA,2018,2
29737,CA,2018,1
29738,CA,2018,1
29748,CA,2018,1
29750,CA,2018,1
29751,CA,2018,10
29753,CA,2018,1
29754,CA,2018,3
29757,CA,2018,1
29758,CA,2018,2
29759,CA,2018,1
29760,CA,2018,2
29762,CA,2018,3
29763,CA,2018,1
29766,CA,2018,1
29767,CA,2018,1
29768,CA,2018,2
29769,CA,2018,1
29770,CA,2018,1
29772,CA,2018,2
29774,CA,2018,1
29775,CA,2018,1
29776,CA,2018,1
29779,CA,2018,1
29780,CA,2018,1
29781,CA,2018,1
29782,CA,2018,2
29783,CA,2018,1
29784,CA,2018,1
29786,CA,2018,1
29787,CA,2018,2
29788,CA,2018,3
29789,CA,2018,1
29790,CA,2018,1
29791,CA,2018,1
29792,CA,2018,1
29793,CA,2018,1
29794,CA,2018,1
29796,CA,2018,2
29799,CA,2018,1
29800,CA,2018,2
29804,CA,2018,1
29808,CA,2018,1
29812,CA,2018,2
29814,CA,2018,3
29823,CA,2018,1
29833,CA,2018,1
29866,CA,2018,2
29999,CA,2018,1
30047,CA,2018,1
30109,CA,2018,3
30136,CA,2018,1
30195,CA,2018,1
30209,CA,2018,1
30212,CA,2018,1
30213,CA,2018,1
30216,CA,2018,1
30217,CA,2018,1
30218,CA,2018,1
30243,CA,2018,5
30264,CA,2018,2
30307,CA,2018,12
30322,CA,2018,11
30323,CA,2018,2
30332,CA,2018,1
30346,CA,2018,10
30347,CA,2018,12
30359,CA,2018,8
30361,CA,2018,1
30362,CA,2019,4
30362,CA,2018,3
30363,CA,2018,14
30452,CA,2018,15
30477,CA,2018,2
30577,CA,2018,1
30579,CA,2018,1
30593,CA,2018,1
30602,CA,2018,1
30616,CA,2018,1
30689,CA,2018,3
30691,CA,2018,1
30695,CA,2018,3
30697,CA,2018,1
30699,CA,2018,3
30709,CA,2018,1
30718,CA,2018,6
30721,CA,2018,3
30728,CA,2018,1
30752,CA,2018,1
30761,CA,2018,1
30763,CA,2018,1
30772,CA,2018,1
30773,CA,2018,1
30796,CA,2018,1
30799,CA,2018,1
30804,CA,2018,1
30806,CA,2018,1
30813,CA,2018,1
30824,CA,2018,1
30825,CA,2018,1
30826,CA,2018,1
30839,CA,2018,3
30845,CA,2018,2
30847,CA,2018,1
30850,CA,2018,1
30884,CA,2018,1
30885,CA,2018,1
30886,CA,2018,1
30887,CA,2018,1
30888,CA,2018,1
30941,CA,2018,1
31114,CA,2020,3
31590,CA,2019,3
31604,CA,2019,1
31702,CA,2019,4
31703,CA,2020,5
31703,CA,2019,3
31704,CA,2020,1
31704,CA,2019,1
31705,CA,2019,6
31706,CA,2019,6
31964,CA,2020,13
31964,CA,2019,13
31975,CA,2019,1
32337,CA,2019,1
32368,CA,2019,6
32391,CA,2019,3
32666,CA,2019,2
32879,CA,2019,17
32921,CA,2019,10
32966,CA,2019,2
33140,CA,2019,2
33148,CA,2019,1
33151,CA,2019,1
33161,CA,2019,1
33180,CA,2019,3
33187,CA,2019,6
33191,CA,2019,5
33200,CA,2019,2
33201,CA,2019,1
33223,CA,2019,2
33227,CA,2019,2
33228,CA,2019,2
33230,CA,2019,2
33232,CA,2019,4
33233,CA,2019,2
33235,CA,2019,2
33237,CA,2019,2
33238,CA,2019,2
33241,CA,2019,2
33242,CA,2019,1
33243,CA,2019,2
33244,CA,2019,3
33245,CA,2019,2
33246,CA,2019,2
33247,CA,2019,2
33248,CA,2019,2
33249,CA,2019,3
33252,CA,2019,4
33253,CA,2019,2
33254,CA,2019,2
33255,CA,2019,2
33263,CA,2019,2
33264,CA,2019,2
33265,CA,2019,2
33266,CA,2019,2
33307,CA,2019,2
33308,CA,2019,2
33309,CA,2019,2
33312,CA,2019,1
33316,CA,2019,2
33318,CA,2019,2
33321,CA,2019,2
33322,CA,2019,2
33323,CA,2019,1
33324,CA,2019,1
33325,CA,2019,2
33382,CA,2020,4
33382,CA,2019,24
33519,CA,2019,1
33521,CA,2019,1
33598,CA,2019,8
33633,CA,2019,13
33634,CA,2019,2
33643,CA,2019,1
33644,CA,2019,1
33663,CA,2019,9
33704,CA,2019,2
33807,CA,2019,1
33809,CA,2019,3
33818,CA,2019,2
33823,CA,2019,5
33828,CA,2019,8
33978,CA,2019,2
33998,CA,2019,1
34007,CA,2019,1
34018,CA,2019,2
34063,CA,2019,4
34089,CA,2019,4
34090,CA,2019,1
34128,CA,2019,1
34129,CA,2019,3
34133,CA,2019,1
34139,CA,2019,5
34146,CA,2019,1
34300,CA,2019,1
34304,CA,2019,2
34313,CA,2019,3
34314,CA,2019,2
34350,CA,2019,2
34559,CA,2019,13
34667,CA,2020,3
35077,CA,2020,7
35163,CA,2020,7
35238,CA,2020,1
35908,CA,2019,13
35908,CA,2018,14
35909,CA,2019,13
35910,CA,2019,12
35910,CA,2018,7
35911,CA,2019,12
36096,CA,2020,5
36098,CA,2020,14
36121,CA,2020,1
36139,CA,2020,14
36150,CA,2020,6
36393,CA,2020,1
36541,CA,2020,6
36742,CA,2020,2
36871,CA,2020,15
36930,CA,2020,2
37104,CA,2020,1
37415,CA,2020,1
37549,CA,2020,1
37588,CA,2020,2
37877,CA,2020,1
38054,CA,2020,5
38055,CA,2020,1
38312,CA,2020,7
38345,CA,2020,1
38361,CA,2020,1
38496,CA,2020,1
38589,CA,2020,3
38840,CA,2020,1
39298,CA,2020,5
63,CO,2019,6
63,CO,2018,13
261,CO,2019,2
261,CO,2018,6
263,CO,2020,6
263,CO,2019,3
2533,CO,2019,3
2803,CO,2020,22
2803,CO,2019,20
2803,CO,2018,20
5364,CO,2020,1
6563,CO,2020,7
6563,CO,2019,6
6563,CO,2018,9
8309,CO,2018,10
9927,CO,2020,13
9927,CO,2019,11
9927,CO,2018,5
10143,CO,2020,44
10143,CO,2019,34
10143,CO,2018,48
